Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.6410000e+00                  2.8225579e-27                  2.8225579e-27
2.6411000e+00                  3.1385939e-27                  3.1385939e-27
2.6412000e+00                  3.5080778e-27                  3.5080778e-27
2.6413000e+00                  3.9233541e-27                  3.9233541e-27
2.6414000e+00                  4.3672566e-27                  4.3672566e-27
2.6415000e+00                  4.8176464e-27                  4.8176464e-27
2.6416000e+00                  5.2560223e-27                  5.2560223e-27
2.6417000e+00                  5.6776595e-27                  5.6776595e-27
2.6418000e+00                  6.0995854e-27                  6.0995854e-27
2.6419000e+00                  6.5632996e-27                  6.5632996e-27
2.6420000e+00                  7.1315751e-27                  7.1315751e-27
2.6421000e+00                  7.8820523e-27                  7.8820523e-27
2.6422000e+00                  8.9029212e-27                  8.9029212e-27
